City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,nagqu,31.5,92.0,5.66,88,100,1.74,CN,1690249077
150,gobernador virasora,-28.05,-56.0333,20.58,93,100,0.89,AR,1690249524
151,chonchi,-42.6128,-73.8092,7.84,91,84,2.85,CL,1690249073
152,maitum,6.0392,124.4986,28.75,69,83,1.09,PH,1690249524
153,brisas de zicatela,15.8369,-97.0419,29.29,61,100,0.0,MX,1690249524
154,tazovsky,67.4667,78.7,16.15,81,22,3.38,RU,1690249072
155,waspik,51.6867,4.9444,13.88,81,40,0.51,NL,1690249525
156,papatowai,-46.5619,169.4708,7.6,85,100,7.27,NZ,1690249071
157,lerwick,60.1545,-1.1494,11.0,87,72,5.89,GB,1690249083
158,aykhal,66.0,111.5,14.74,77,97,3.4,RU,1690249074
159,necochea,-38.5473,-58.7368,3.82,82,12,4.16,AR,1690249403
160,tazacorte,28.629,-17.9293,21.54,88,40,4.12,ES,1690249069
161,mount gambier,-37.8333,140.7667,14.09,60,57,1.99,AU,1690249071
162,bulolo,-7.2,146.65,28.44,58,88,1.83,PG,1690249525
163,ola,59.5833,151.2833,23.97,59,5,2.94,RU,1690249070
164,jalqani,12.4486,34.2186,25.08,81,84,2.98,SD,1690249526
165,nar'yan-mar,67.6713,53.087,15.77,84,39,4.0,RU,1690249063
166,ed damer,17.5928,33.9592,33.57,21,72,3.37,SD,1690249526
167,la passe,45.5549,-0.8967,17.21,70,100,8.25,FR,1690249526
168,constantia,44.1833,28.65,21.38,76,4,6.76,RO,1690249059
169,olonkinbyen,70.9221,-8.7187,5.23,90,100,4.91,SJ,1690249070
170,grand falls-windsor,48.9332,-55.6649,18.36,90,3,2.8,CA,1690249527
171,lisala,2.15,21.5167,21.3,97,76,1.26,CD,1690249096
172,island harbour,50.724,-1.2758,14.96,94,100,0.45,GB,1690249100
173,tromso,69.6496,18.957,12.99,82,75,1.54,NO,1690249527
174,bierutow,51.1244,17.5461,18.73,81,100,4.36,PL,1690249527
175,altagracia de orituco,9.8601,-66.3814,22.34,94,38,1.66,VE,1690249527
176,chatel-saint-denis,46.5269,6.9008,16.78,79,100,3.3,CH,1690249527
177,sanctuary point,-35.1114,150.629,19.43,52,5,1.83,AU,1690249528
178,puerto carreno,6.189,-67.4859,25.73,87,100,1.75,CO,1690249528
179,karlskrona,56.1616,15.5866,15.25,95,100,2.07,SE,1690249528
180,luwuk,-0.9516,122.7875,28.04,72,83,3.59,ID,1690249528
181,san luis de la loma,17.2706,-100.8939,27.62,79,91,0.7,MX,1690249066
182,cole harbour,44.6724,-63.4751,22.66,85,100,3.09,CA,1690249443
183,novhorod-sivers'kyy,52.0058,33.2615,16.34,94,100,3.45,UA,1690249529
184,geraldton,-28.7667,114.6,14.23,47,100,8.75,AU,1690249062
185,limon,10.0,-83.0333,23.36,91,100,1.94,CR,1690249529
